Household_Sample_ID,Recommendations
385,Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 632.46
242,Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 766.14
600,Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 773.54
579,Lighting hours are on the higher side — switching to LED bulbs (if not already) can cut lighting load by up to 80%. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 922.93
475,"Your AC usage is high — shifting non-essential AC hours to after 9 PM (cooler ambient temps) can reduce load by ~10-15%. | Peak alert: heavy AC usage during 1 PM-6 PM coincides with typical grid peak hours — consider raising thermostat by 1-2°C. | Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Lighting hours are on the higher side — switching to LED bulbs (if not already) can cut lighting load by up to 80%. | Your household's efficiency score is below average. Focus first on AC and fan run-time, since these dominate your total consumption. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 1,987.59"
465,Lighting hours are on the higher side — switching to LED bulbs (if not already) can cut lighting load by up to 80%. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 822.85
214,"Your AC usage is high — shifting non-essential AC hours to after 9 PM (cooler ambient temps) can reduce load by ~10-15%. | Peak alert: heavy AC usage during 1 PM-6 PM coincides with typical grid peak hours — consider raising thermostat by 1-2°C. | Your household's efficiency score is below average. Focus first on AC and fan run-time, since these dominate your total consumption. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 2,288.17"
589,Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 610.91
116,Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 909.11
634,Run washing machine and water motor during off-peak hours (before 8 AM or after 10 PM) for lower effective cost if time-of-use tariffs apply. | Your household is operating at a reasonably efficient level compared to similar homes — maintain current usage patterns. | Estimated potential monthly savings if usage is optimized (~10% reduction): PKR 642.36
